buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buurten,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,aantal_huishoudens,percentage_eenpersoonshuishoudens,percentage_huishoudens_zonder_kinderen,percentage_huishoudens_met_kinderen,gemiddelde_huishoudsgrootte,percentage_westerse_migratieachtergrond,percentage_niet_westerse_migratieachtergrond,percentage_uit_marokko,percentage_uit_nederlandse_antillen_en_aruba,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersemigratieachtergrond,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,jrstatcode,jaar
BU00140510,Roodehaan,WK001405,GM0014,Groningen,1,NEE,9723,1,18,5,13,25,15,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,15,43,43,14,1.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,195,191,4,2022BU00140510,2022
BU00141000,Selwerd,WK001410,GM0014,Groningen,1,NEE,9741,1,4206,1,7155,5900,2910,2990,12,28,26,17,17,68,19,7,5,3710,67,17,16,1.6,12,26,2,3,3,2,16,84,82,1,2022BU00141000,2022
BU00141401,Harkstede GN,WK001414,GM0014,Groningen,1,NEE,9614,1,106,5,27,205,105,95,20,15,17,31,18,57,32,7,4,85,38,25,37,2.4,8,7,0,2,0,0,4,813,769,44,2022BU00141401,2022
BU00141302,Klein Harkstede,WK001413,GM0014,Groningen,1,NEE,9723,1,291,5,495,75,35,40,19,4,17,37,23,42,51,4,3,35,16,50,34,2.4,4,1,-99999999,-99999999,-99999999,-99999999,-99999999,19,16,3,2022BU00141302,2022
BU00140404,Damsterbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,3840,1,2731,750,395,355,5,32,39,15,9,84,9,5,2,580,79,14,7,1.3,13,13,1,3,2,0,8,37,27,10,2022BU00140404,2022
BU00140104,Grunobuurt,WK001401,GM0014,Groningen,1,NEE,9727,1,3693,1,9866,2160,1060,1095,7,24,44,16,9,80,12,6,2,1520,69,20,11,1.4,14,11,0,2,1,0,8,23,22,1,2022BU00140104,2022
BU00140903,Friesestraatweg,WK001409,GM0014,Groningen,1,NEE,9743,1,3735,1,4365,810,450,365,3,37,56,3,1,91,6,3,0,570,65,30,5,1.4,20,16,0,2,1,1,11,21,19,3,2022BU00140903,2022
BU00141210,Ruischerbrug,WK001412,GM0014,Groningen,1,NEE,9734,1,1047,3,2484,475,225,250,17,9,22,27,25,43,42,6,9,220,34,34,32,2.1,8,7,0,0,1,2,4,26,19,7,2022BU00141210,2022
BU00141901,Onnen Dorp,WK001419,GM0014,Groningen,1,NEE,9755,1,89,5,1127,435,215,225,16,10,16,37,21,41,49,6,3,175,23,34,43,2.5,6,1,-99999999,-99999999,-99999999,-99999999,-99999999,39,39,0,2022BU00141901,2022
BU00140606,De Wijert-Zuid,WK001406,GM0014,Groningen,1,NEE,9721,1,2217,2,3671,3390,1630,1765,20,9,20,27,24,49,38,7,5,1515,36,29,35,2.2,11,8,0,1,1,1,5,92,92,0,2022BU00140606,2022
BU00140401,Vogelbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,4236,1,7939,2795,1370,1430,14,13,41,21,10,71,17,9,3,1745,64,16,19,1.6,14,22,0,3,2,1,15,37,35,2,2022BU00140401,2022
BU00141206,Zilvermeer,WK001412,GM0014,Groningen,1,NEE,9735,1,1373,3,3583,220,110,110,16,11,16,36,21,49,41,5,5,85,17,43,40,2.5,4,9,0,1,1,0,6,7,6,1,2022BU00141206,2022
BU00140509,Stainkoel'n,WK001405,GM0014,Groningen,1,NEE,9723,1,105,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,91,87,4,2022BU00140509,2022
BU00140600,Sterrebosbuurt,WK001406,GM0014,Groningen,1,NEE,9721,6,3716,1,1419,850,545,300,14,6,40,27,13,65,26,7,2,275,31,41,29,2.2,12,15,2,3,2,1,7,62,60,2,2022BU00140600,2022
BU00141709,Wolddeelen,WK001417,GM0014,Groningen,1,NEE,9752,1,352,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,176,136,41,2022BU00141709,2022
BU00141002,Paddepoel-Noord,WK001410,GM0014,Groningen,1,NEE,9742,1,3957,1,9016,5955,2915,3045,8,26,26,16,23,62,23,8,7,4065,71,18,11,1.4,21,22,1,2,2,3,14,67,66,1,2022BU00141002,2022
BU00140901,Vinkhuizen-Zuid,WK001409,GM0014,Groningen,1,NEE,9743,1,2746,1,4659,4765,2235,2530,16,15,21,24,24,53,28,11,7,2365,49,22,29,2.0,12,25,3,3,4,2,13,104,102,2,2022BU00140901,2022
BU00140802,Westpoort,WK001408,GM0014,Groningen,1,NEE,9744,1,99,5,-99999999,5,5,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,138,125,13,2022BU00140802,2022
BU00141703,Haren-Noord,WK001417,GM0014,Groningen,1,NEE,9751,2,815,4,1953,3890,1885,2005,26,7,26,19,22,53,33,5,8,1440,34,23,43,2.5,9,5,0,1,0,0,3,199,199,0,2022BU00141703,2022
BU00141208,Drielanden,WK001412,GM0014,Groningen,1,NEE,9734,1,1082,3,4008,925,465,455,15,12,16,39,18,49,42,8,1,390,25,36,40,2.4,9,4,0,0,2,0,2,25,23,2,2022BU00141208,2022
BU00141702,Haren-Zuidoost,WK001417,GM0014,Groningen,1,NEE,9751,1,1270,3,2119,3630,1745,1880,17,10,20,28,25,47,38,10,5,1725,42,27,31,2.1,9,5,0,0,0,0,3,172,171,1,2022BU00141702,2022
BU00140804,Zuidwending,WK001408,GM0014,Groningen,1,NEE,9745,1,228,5,26,40,25,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,20,30,35,35,2.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,163,155,8,2022BU00140804,2022
BU00140803,Vierverlaten,WK001408,GM0014,Groningen,1,NEE,9744,1,343,5,123,130,75,60,14,11,33,27,14,52,42,5,2,65,39,31,30,2.1,9,2,-99999999,-99999999,-99999999,-99999999,-99999999,110,107,3,2022BU00140803,2022
BU00140700,Corpus den Hoorn,WK001407,GM0014,Groningen,1,NEE,9728,1,2743,1,4056,4435,2175,2255,9,15,34,21,21,65,19,9,6,2810,64,22,14,1.5,12,15,1,1,1,1,11,114,109,4,2022BU00140700,2022
BU00140907,Westpark,WK001409,GM0014,Groningen,1,NEE,9745,1,591,4,125,85,50,35,6,5,56,28,6,77,14,7,2,60,61,27,12,1.5,9,6,-99999999,-99999999,-99999999,-99999999,-99999999,82,70,12,2022BU00140907,2022
BU00141403,Groenewei,WK001414,GM0014,Groningen,1,NEE,9613,1,237,5,269,95,50,40,32,0,63,3,2,63,36,1,0,30,12,32,56,2.8,3,5,-99999999,-99999999,-99999999,-99999999,-99999999,40,35,5,2022BU00141403,2022
BU00141300,Middelbert,WK001413,GM0014,Groningen,1,NEE,9723,1,208,5,35,110,55,55,17,12,19,28,25,55,39,4,3,40,37,26,37,2.4,9,4,-99999999,-99999999,-99999999,-99999999,-99999999,342,310,31,2022BU00141300,2022
BU00141710,Buitengebied Haren-Zuidwest,WK001417,GM0014,Groningen,1,NEE,9752,1,131,5,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,239,224,15,2022BU00141710,2022
BU00140106,Zeeheldenbuurt,WK001401,GM0014,Groningen,1,NEE,9726,1,4008,1,9962,3330,1625,1700,3,50,34,9,4,89,8,3,1,2555,77,18,5,1.3,21,11,0,1,1,1,9,35,33,1,2022BU00140106,2022
BU00140603,Villabuurt,WK001406,GM0014,Groningen,1,NEE,9722,5,2154,2,1499,975,465,510,17,9,12,25,37,40,47,5,7,435,34,38,28,2.2,11,6,0,0,0,1,5,65,65,0,2022BU00140603,2022
BU00141211,Ruischerwaard,WK001412,GM0014,Groningen,1,NEE,9734,1,1212,3,5558,1240,620,620,18,10,29,33,11,55,38,5,2,515,21,36,43,2.4,8,6,0,1,3,0,2,28,22,6,2022BU00141211,2022
BU00141605,Buitengebied Ten Post,WK001416,GM0014,Groningen,1,NEE,9792,1,93,5,17,135,80,60,15,18,17,29,21,42,49,6,3,55,22,37,41,2.6,2,0,-99999999,-99999999,-99999999,-99999999,-99999999,807,801,6,2022BU00141605,2022
BU00141600,Ten Post Dorp,WK001416,GM0014,Groningen,1,NEE,9792,1,120,5,890,565,290,280,17,11,23,31,17,49,41,7,4,250,32,31,37,2.3,3,2,0,0,0,0,2,66,64,2,2022BU00141600,2022
BU00140101,Oosterpoort,WK001401,GM0014,Groningen,1,NEE,9724,1,4348,1,12446,4930,2415,2520,5,31,36,18,11,82,11,6,2,3600,72,20,8,1.4,17,9,0,1,1,0,6,42,40,2,2022BU00140101,2022
BU00141005,Tuinwijk,WK001410,GM0014,Groningen,1,NEE,9741,1,5739,1,9700,1505,725,785,13,21,41,18,7,80,11,7,2,965,65,19,16,1.6,13,17,0,2,3,1,10,16,16,0,2022BU00141005,2022
BU00141501,Buitengebied Ten Boer-Zuid,WK001415,GM0014,Groningen,1,NEE,9791,1,159,5,19,90,40,45,10,13,9,47,22,42,49,6,3,40,21,50,29,2.3,2,0,-99999999,-99999999,-99999999,-99999999,-99999999,468,461,7,2022BU00141501,2022
BU00141900,Glimmen Dorp,WK001419,GM0014,Groningen,1,NEE,9756,1,176,5,1283,1070,520,550,17,10,13,35,25,44,44,8,5,460,26,36,38,2.3,8,5,0,0,0,0,4,83,83,0,2022BU00141900,2022
BU00140402,Bloemenbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,3534,1,12129,2820,1405,1420,13,13,42,24,8,76,11,10,2,1870,65,18,18,1.5,11,21,1,3,2,2,13,23,23,0,2022BU00140402,2022
BU00140002,Binnenstad-Oost,WK001400,GM0014,Groningen,1,NEE,9711,3,6151,1,15484,4150,2185,1965,3,43,35,11,9,86,8,5,1,3285,80,16,4,1.3,18,15,1,2,1,1,11,29,27,2,2022BU00140002,2022
BU00141909,Appelbergen Onnen,WK001419,GM0014,Groningen,1,NEE,-99999999,-99999999,-99999999,-99999999,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,12,12,0,2022BU00141909,2022
BU00140602,Klein Martijn,WK001406,GM0014,Groningen,1,NEE,9722,1,1491,3,2410,640,315,320,11,11,9,35,34,40,50,5,5,290,25,47,28,2.2,9,3,0,0,1,0,1,26,26,0,2022BU00140602,2022
BU00140507,Euvelgunne,WK001405,GM0014,Groningen,1,NEE,9723,1,267,5,56,55,35,20,11,18,25,31,15,62,24,11,4,25,52,16,32,2.2,5,2,-99999999,-99999999,-99999999,-99999999,-99999999,101,98,3,2022BU00140507,2022
BU00140906,De Held,WK001409,GM0014,Groningen,1,NEE,9745,5,1412,3,2781,2510,1250,1260,16,14,22,33,16,50,41,6,4,1040,26,32,42,2.4,8,9,0,1,3,0,4,98,90,7,2022BU00140906,2022
BU00141200,Lewenborg-Noord,WK001412,GM0014,Groningen,1,NEE,9733,1,1390,3,6176,3675,1745,1925,17,9,25,24,25,53,29,12,6,1895,47,23,30,1.9,11,16,0,4,2,1,9,59,59,0,2022BU00141200,2022
BU00141902,Noordlaren Dorp,WK001419,GM0014,Groningen,1,NEE,9479,1,89,5,796,385,190,190,14,9,14,35,28,41,48,8,3,175,25,46,30,2.2,6,2,0,0,1,0,1,48,48,0,2022BU00141902,2022
BU00141704,Essen,WK001417,GM0014,Groningen,1,NEE,9751,1,546,4,98,85,40,45,11,11,17,35,27,54,40,2,4,35,20,46,34,2.4,5,1,-99999999,-99999999,-99999999,-99999999,-99999999,86,86,0,2022BU00141704,2022
BU00141801,Tuindorp,WK001418,GM0014,Groningen,1,NEE,9753,1,976,4,4509,785,370,410,15,11,21,32,21,46,41,8,4,345,30,32,38,2.3,9,7,0,1,1,0,5,17,17,0,2022BU00141801,2022
BU00140508,Winschoterdiep,WK001405,GM0014,Groningen,1,NEE,9723,1,857,4,34,45,30,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,30,71,10,19,1.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,141,130,11,2022BU00140508,2022
BU00140701,Hoornse Meer,WK001407,GM0014,Groningen,1,NEE,9728,1,1984,2,4373,4275,2070,2205,10,10,23,27,29,54,28,11,7,2395,54,25,20,1.7,10,7,0,1,1,0,5,120,98,22,2022BU00140701,2022
BU00141502,Garmerwolde,WK001415,GM0014,Groningen,1,NEE,9798,1,74,5,86,495,250,245,11,12,16,35,26,40,48,7,5,225,28,43,29,2.2,6,1,0,0,0,0,1,586,575,11,2022BU00141502,2022
BU00140807,Suikerfabriekterrein,WK001408,GM0014,Groningen,1,NEE,9743,1,2156,2,644,335,185,150,2,72,21,5,0,97,2,1,0,315,97,1,2,1.1,67,22,0,1,1,1,19,77,52,25,2022BU00140807,2022
BU00140800,Hoogkerk Dorp,WK001408,GM0014,Groningen,1,NEE,9745,1,712,4,1362,1780,895,880,13,13,24,29,22,52,34,8,6,905,44,27,29,2.0,7,8,0,1,1,0,5,139,130,8,2022BU00140800,2022
BU00141802,Felland,WK001418,GM0014,Groningen,1,NEE,9753,1,630,4,127,30,20,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,15,23,38,38,2.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,25,25,0,2022BU00141802,2022
BU00140302,Professorenbuurt,WK001403,GM0014,Groningen,1,NEE,9714,1,5392,1,11226,5975,2825,3150,8,38,35,13,6,84,11,3,1,4120,69,21,9,1.4,16,9,0,1,1,0,6,57,53,4,2022BU00140302,2022
BU00141101,Beijum-Oost,WK001411,GM0014,Groningen,1,NEE,9736,1,1520,2,6541,6100,3110,2995,18,12,29,29,12,62,25,11,2,3185,50,20,31,1.9,11,19,1,6,2,1,10,94,93,1,2022BU00141101,2022
BU00140200,Oranjebuurt,WK001402,GM0014,Groningen,1,NEE,9717,1,5470,1,9810,2570,1225,1345,9,23,29,22,17,71,18,9,3,1650,62,23,15,1.6,14,10,0,1,1,0,7,27,26,1,2022BU00140200,2022
BU00140004,Noorderplantsoen,WK001400,GM0014,Groningen,1,NEE,9717,2,6311,1,-99999999,10,5,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,20,19,0,2022BU00140004,2022
BU00140202,Schildersbuurt,WK001402,GM0014,Groningen,1,NEE,9718,1,5488,1,14937,5450,2670,2780,4,43,29,14,10,81,13,4,2,4010,75,19,6,1.4,17,8,0,1,1,0,7,39,36,3,2022BU00140202,2022
BU00141505,Buitengebied Ten Boer-Noord,WK001415,GM0014,Groningen,1,NEE,9791,1,408,5,41,80,45,35,19,14,21,35,12,52,37,10,1,30,28,19,53,2.5,2,2,-99999999,-99999999,-99999999,-99999999,-99999999,198,197,1,2022BU00141505,2022
BU00141100,Beijum-West,WK001411,GM0014,Groningen,1,NEE,9737,1,1681,2,4976,5850,2960,2890,15,13,28,30,14,59,28,10,2,3100,49,23,28,1.9,11,15,0,4,3,1,7,120,118,2,2022BU00141100,2022
BU00140005,Hortusbuurt-Ebbingekwartier,WK001400,GM0014,Groningen,1,NEE,9712,2,6786,1,13132,5710,2860,2850,5,38,32,15,11,80,13,5,2,4305,79,16,6,1.3,21,11,0,2,1,1,8,45,43,1,2022BU00140005,2022
BU00141706,Nesciopark,WK001417,GM0014,Groningen,1,NEE,9752,1,940,4,654,30,15,10,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,4.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,5,0,2022BU00141706,2022
BU00141404,Tersluis,WK001414,GM0014,Groningen,1,NEE,9613,1,173,5,2480,990,515,480,34,6,40,17,4,61,35,4,0,315,8,25,67,3.1,5,6,1,0,1,1,4,59,40,19,2022BU00141404,2022
BU00141207,Kardinge,WK001412,GM0014,Groningen,1,NEE,9735,1,1244,3,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,2.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,112,98,14,2022BU00141207,2022
BU00141004,Selwerderhof,WK001410,GM0014,Groningen,1,NEE,9741,5,1471,3,-99999999,5,5,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,1.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,100,90,10,2022BU00141004,2022
BU00140105,Badstratenbuurt,WK001401,GM0014,Groningen,1,NEE,9726,1,5526,1,14174,855,425,425,4,36,39,14,8,87,6,5,1,650,75,20,5,1.3,17,9,0,1,1,0,6,7,6,1,2022BU00140105,2022
BU00140501,Europapark,WK001405,GM0014,Groningen,1,NEE,9723,1,2127,2,2681,1175,590,585,5,10,31,18,36,49,33,7,12,795,62,31,6,1.5,11,6,0,1,1,0,5,48,44,4,2022BU00140501,2022
BU00140001,Binnenstad-Zuid,WK001400,GM0014,Groningen,1,NEE,9711,1,6417,1,12037,6630,3565,3065,2,48,33,10,7,88,7,4,1,5375,82,15,3,1.2,20,13,0,1,1,1,9,59,55,4,2022BU00140001,2022
BU00141705,Buitengebied Haren-Noordwest,WK001417,GM0014,Groningen,1,NEE,9752,1,513,4,13,15,10,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,2.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,101,98,3,2022BU00141705,2022
BU00140703,Van Swieten,WK001407,GM0014,Groningen,1,NEE,9728,1,1383,3,116,40,40,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,45,100,0,0,1.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,37,37,0,2022BU00140703,2022
BU00141103,Van Starkenborgh,WK001411,GM0014,Groningen,1,NEE,9731,1,2626,1,5858,930,475,455,23,14,21,35,8,60,34,5,1,320,12,30,58,2.9,6,10,0,0,2,2,6,18,16,3,2022BU00141103,2022
BU00141503,Thesinge,WK001415,GM0014,Groningen,1,NEE,9797,1,56,5,55,560,280,280,18,9,15,35,23,48,45,5,2,230,23,42,35,2.4,4,1,-99999999,-99999999,-99999999,-99999999,-99999999,1013,1008,5,2022BU00141503,2022
BU00140502,Eemskanaal,WK001405,GM0014,Groningen,1,NEE,9723,1,1337,3,30,35,25,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,30,81,16,3,1.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,144,125,18,2022BU00140502,2022
BU00140403,Florabuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,2794,1,5891,1470,735,730,13,16,43,22,8,70,20,7,3,880,57,22,20,1.7,12,11,0,2,2,0,7,29,25,4,2022BU00140403,2022
BU00141500,Ten Boer Dorp,WK001415,GM0014,Groningen,1,NEE,9791,1,551,4,1978,4450,2185,2260,18,11,22,26,24,44,42,7,7,1840,30,32,38,2.3,5,4,0,0,0,0,3,228,225,3,2022BU00141500,2022
BU00140811,Kranenburg,WK001408,GM0014,Groningen,1,NEE,9727,1,395,5,-99999999,5,5,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,2.0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,32,31,1,2022BU00140811,2022
BU00140504,Woonschepenhaven,WK001405,GM0014,Groningen,1,NEE,9723,1,1045,3,2042,135,70,65,8,20,26,31,15,70,22,6,2,85,62,22,15,1.6,18,1,-99999999,-99999999,-99999999,-99999999,-99999999,12,7,5,2022BU00140504,2022
BU00140702,Hoornse Park,WK001407,GM0014,Groningen,1,NEE,9728,1,988,4,2223,745,370,370,18,7,18,28,29,46,46,4,3,305,20,45,35,2.4,12,4,0,0,1,0,2,33,33,0,2022BU00140702,2022
